RecordNo,SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice,,,,,
1,2018-11-05,Infused (edible),Each,2,60,0,0,2,60,,,,,
2,2018-11-06,Infused (edible),Each,2,57,0,0,2,57,,,,,
3,2018-11-19,Buds,Grams,0,0,0,0,0,0,,,,,
3,2018-11-19,Concentrate (Each),Each,0,0,0,0,0,0,,,,,
5,2018-11-20,Infused (non-edible),Each,70,2460.63,0,0,70,2460.63,,,,,
5,2018-11-20,Buds,Grams,0,0,15029.44,201773.4,15029.44,201773.4,,,,,
5,2018-11-20,Infused (edible),Each,3092,72192.26,0,0,3092,72192.26,,,,,
5,2018-11-20,Concentrate (Each),Each,3031,163585.03,0,0,3031,163585.03,,,,,
9,2018-11-21,Infused (non-edible),Each,68,2699.75,0,0,68,2699.75,,,,,
9,2018-11-21,Infused (edible),Each,2258,60150.37,0,0,2258,60150.37,,,,,
9,2018-11-21,Concentrate (Each),Each,2900,161214.15,0,0,2900,161214.15,,,,,
9,2018-11-21,Buds,Grams,0,0,15552.37,212917.74,15552.37,212917.74,,,,,
9,2018-11-21,Buds,Each,167,4558.16,0,0,167,4558.16,,,,,
14,2018-11-23,Buds,Each,218,6330.28,0,0,218,6330.28,,,,,
14,2018-11-23,Infused (edible),Each,2968,74571.59,0,0,2968,74571.59,,,,,
14,2018-11-23,Infused (non-edible),Each,108,3976,0,0,108,3976,,,,,
14,2018-11-23,Concentrate (Each),Each,3757,210369.57,0,0,3757,210369.57,,,,,
14,2018-11-23,Buds,Grams,0,0,12793.82,184501.16,12793.82,184501.16,,,,,
19,2018-11-24,Infused (non-edible),Each,94,3342,0,0,94,3342,,,,,
19,2018-11-24,Infused (edible),Each,2331,69821.73,0,0,2331,69821.73,,,,,
19,2018-11-24,Buds,Grams,0,0,11659.95,168598.46,11659.95,168598.46,,,,,
19,2018-11-24,Concentrate (Each),Each,3412,196641.42,0,0,3412,196641.42,,,,,
19,2018-11-24,Kief,Grams,0,0,561.8,2618.11,561.8,2618.11,,,,,
19,2018-11-24,Buds,Each,1941,26315.6,0,0,1941,26315.6,,,,,
25,2018-11-25,Kief,Grams,0,0,392.2,1847.5,392.2,1847.5,,,,,
25,2018-11-25,Infused (edible),Each,2436,62373.99,0,0,2436,62373.99,,,,,
25,2018-11-25,Buds,Grams,0,0,10678.07,152471.61,10678.07,152471.61,,,,,
25,2018-11-25,Concentrate (Each),Each,2628,149223.17,0,0,2628,149223.17,,,,,
25,2018-11-25,Infused (non-edible),Each,80,2331.98,0,0,80,2331.98,,,,,
25,2018-11-25,Buds,Each,901,19387.54,0,0,901,19387.54,,,,,
31,2018-11-26,Infused (non-edible),Each,69,2348.51,0,0,69,2348.51,,,,,
31,2018-11-26,Infused (edible),Each,2014,52885.36,0,0,2014,52885.36,,,,,
31,2018-11-26,Concentrate (Each),Each,2322,137044.82,0,0,2322,137044.82,,,,,
31,2018-11-26,Kief,Grams,0,0,339.2,1600,339.2,1600,,,,,
